Initialising fast UCB table... done
Time in this step: 0.0235627
Time in this step: 0.0238442
Time in this step: 0.0225613
Time in this step: 0.0222841
Time in this step: 0.0222347
Time in this step: 0.0213745
Time in this step: 0.020548
Time in this step: 0.0181185
Time in this step: 0.0178307
Time in this step: 0.013196
Time in this step: 0.00621821
Terminated
Discounted return = 2.05614, average = 6.00471
Undiscounted return = 10, average = 20
Starting run 3 with 512 simulations... 
Time in this step: 0.0261876
Time in this step: 0.0258882
Time in this step: 0.0255678
Time in this step: 0.0255636
Time in this step: 0.0256013
Time in this step: 0.02556
Time in this step: 0.025658
Time in this step: 0.0259006
Time in this step: 0.0269247
Time in this step: 0.0256961
Time in this step: 0.0254717
Time in this step: 0.0247041
Time in this step: 0.0238341
Time in this step: 0.0235174
Time in this step: 0.0237051
Time in this step: 0.0228498
Time in this step: 0.0231646
Time in this step: 0.0226948
Time in this step: 0.0218886
Time in this step: 0.0210059
Time in this step: 0.0191964
Time in this step: 0.0183488
Time in this step: 0.0153001
Time in this step: 0.0105498
Time in this step: 0.00450003
Terminated
Discounted return = 15.3536, average = 9.12102
Undiscounted return = 40, average = 26.6667
Starting run 4 with 512 simulations... 
Time in this step: 0.0262519
Time in this step: 0.035086
Time in this step: 0.0256752
Time in this step: 0.0255028
Time in this step: 0.024115
Time in this step: 0.0283501
Time in this step: 0.0237502
Time in this step: 0.022611
Time in this step: 0.0227563
Time in this step: 0.0222367
Time in this step: 0.0208233
Time in this step: 0.0202265
Time in this step: 0.0195201
Time in this step: 0.0191084
Time in this step: 0.0199264
Time in this step: 0.0191323
Time in this step: 0.0196115
Time in this step: 0.0197035
Time in this step: 0.0179934
Time in this step: 0.0155201
Time in this step: 0.0144339
Time in this step: 0.0103182
Time in this step: 0.0037182
Terminated
Discounted return = 27.5731, average = 13.734
Undiscounted return = 50, average = 32.5
Starting run 5 with 512 simulations... 
Time in this step: 0.0266088
Time in this step: 0.0302909
Time in this step: 0.0255021
Time in this step: 0.0254852
Time in this step: 0.025648
Time in this step: 0.0254566
Time in this step: 0.0252061
Time in this step: 0.0253165
Time in this step: 0.0251662
Time in this step: 0.0250242
Time in this step: 0.0261796
Time in this step: 0.0279293
Time in this step: 0.0262115
Time in this step: 0.0256934
Time in this step: 0.0259702
Time in this step: 0.0257495
Time in this step: 0.0248472
Time in this step: 0.0244351
Time in this step: 0.0243939
Time in this step: 0.0230132
Time in this step: 0.0233673
Time in this step: 0.0215225
Time in this step: 0.0203003
Time in this step: 0.0201555
Time in this step: 0.0196122
Time in this step: 0.0170366
Time in this step: 0.0119047
Time in this step: 0.00598621
Terminated
Discounted return = 10.14, average = 13.0152
Undiscounted return = 30, average = 32
Starting run 6 with 512 simulations... 
Time in this step: 0.0266264
Time in this step: 0.025385
Time in this step: 0.0253197
Time in this step: 0.0254821
Time in this step: 0.0251646
Time in this step: 0.024801
Time in this step: 0.0242599
Time in this step: 0.0239318
Time in this step: 0.0224749
Time in this step: 0.0226488
Time in this step: 0.0227174
Time in this step: 0.0226219
Time in this step: 0.0186315
Time in this step: 0.0179924
Time in this step: 0.0188805
Time in this step: 0.0138225
Time in this step: 0.00575597
Terminated
Discounted return = -2.94965, average = 10.3544
Undiscounted return = 0, average = 26.6667
Starting run 7 with 512 simulations... 
Time in this step: 0.0264912
Time in this step: 0.0255695
Time in this step: 0.0254031
Time in this step: 0.0256798
Time in this step: 0.0259719
Time in this step: 0.0268185
Time in this step: 0.027932
Time in this step: 0.0270135
Time in this step: 0.0244938
Time in this step: 0.0245452
Time in this step: 0.0239336
Time in this step: 0.0243181
Time in this step: 0.0221799
Time in this step: 0.0214491
Time in this step: 0.019507
Time in this step: 0.0190911
Time in this step: 0.0165203
Time in this step: 0.0121924
Time in this step: 0.00502866
Terminated
Discounted return = 16.0099, average = 11.1624
Undiscounted return = 30, average = 27.1429
Starting run 8 with 512 simulations... 
Time in this step: 0.027022
Time in this step: 0.0258259
Time in this step: 0.0256458
Time in this step: 0.0256665
Time in this step: 0.0247516
Time in this step: 0.0246836
Time in this step: 0.0236422
Time in this step: 0.0229403
Time in this step: 0.0209558
Time in this step: 0.0210642
Time in this step: 0.0220199
Time in this step: 0.0186398
Time in this step: 0.0142582
Time in this step: 0.00610987
Terminated
Discounted return = 12.8712, average = 11.376
Undiscounted return = 20, average = 26.25
Starting run 9 with 512 simulations... 
Time in this step: 0.0269787
Time in this step: 0.0258277
Time in this step: 0.0253535
Time in this step: 0.0257171
Time in this step: 0.0254665
Time in this step: 0.0250931
Time in this step: 0.0247618
Time in this step: 0.0247647
Time in this step: 0.0245057
Time in this step: 0.023716
Time in this step: 0.0213744
Time in this step: 0.0191803
Time in this step: 0.0144702
Time in this step: 0.00596853
Terminated
Discounted return = 12.1168, average = 11.4583
Undiscounted return = 20, average = 25.5556
Starting run 10 with 512 simulations... 
Time in this step: 0.0268093
Time in this step: 0.0258728
Time in this step: 0.0255128
Time in this step: 0.0254926
Time in this step: 0.0252715
Time in this step: 0.0242233
Time in this step: 0.0374042
Time in this step: 0.0272596
Time in this step: 0.0265129
Time in this step: 0.0263074
Time in this step: 0.0261339
Time in this step: 0.0262171
Time in this step: 0.0235315
Time in this step: 0.0220498
Time in this step: 0.0213869
Time in this step: 0.0206864
Time in this step: 0.0198937
Time in this step: 0.0195424
Time in this step: 0.0208336
Time in this step: 0.0198472
Time in this step: 0.0197005
Time in this step: 0.0181946
Time in this step: 0.018692
Time in this step: 0.0161225
Time in this step: 0.0114966
Time in this step: 0.00535092
Terminated
Discounted return = -4.46341, average = 9.86611
Undiscounted return = 0, average = 23
Starting run 11 with 512 simulations... 
Time in this step: 0.0263538
Time in this step: 0.0253746
Time in this step: 0.0247425
Time in this step: 0.0249475
Time in this step: 0.0245012
Time in this step: 0.0242949
Time in this step: 0.0243806
Time in this step: 0.0242145
Time in this step: 0.0228085
Time in this step: 0.0234955
Time in this step: 0.023088
Time in this step: 0.0191633
Time in this step: 0.0137718
Time in this step: 0.00643666
Terminated
Discounted return = 13.7072, average = 10.2153
Undiscounted return = 20, average = 22.7273
Starting run 12 with 512 simulations... 
Time in this step: 0.0266123
Time in this step: 0.0262604
Time in this step: 0.0257469
Time in this step: 0.0251296
Time in this step: 0.0253453
Time in this step: 0.0258646
Time in this step: 0.0258288
Time in this step: 0.0257952
Time in this step: 0.0255147
Time in this step: 0.0248484
Time in this step: 0.0241947
Time in this step: 0.0246956
Time in this step: 0.0232003
Time in this step: 0.0225867
Time in this step: 0.0209682
Time in this step: 0.0190207
Time in this step: 0.0182758
Time in this step: 0.0184647
Time in this step: 0.0153004
Time in this step: 0.0146603
Time in this step: 0.00988363
Time in this step: 0.00480982
Terminated
Discounted return = 15.5023, average = 10.6559
Undiscounted return = 30, average = 23.3333
Starting run 13 with 512 simulations... 
Time in this step: 0.0284719
Time in this step: 0.0270583
Time in this step: 0.0264951
Time in this step: 0.0283386
Time in this step: 0.0257667
Time in this step: 0.025642
Time in this step: 0.0259083
Time in this step: 0.0268699
Time in this step: 0.0254329
Time in this step: 0.0254062
Time in this step: 0.0271314
Time in this step: 0.02633
Time in this step: 0.0254066
Time in this step: 0.0251255
Time in this step: 0.0245153
Time in this step: 0.024277
Time in this step: 0.0231849
Time in this step: 0.022998
Time in this step: 0.0230215
Time in this step: 0.0233678
Time in this step: 0.0231471
Time in this step: 0.0221388
Time in this step: 0.0199816
Time in this step: 0.0146554
Time in this step: 0.00613949
Terminated
Discounted return = 7.79664, average = 10.4359
Undiscounted return = 20, average = 23.0769
Starting run 14 with 512 simulations... 
Time in this step: 0.0264236
Time in this step: 0.0256857
Time in this step: 0.0260524
Time in this step: 0.0256505
Time in this step: 0.0258031
Time in this step: 0.0255344
Time in this step: 0.0256784
Time in this step: 0.0256282
Time in this step: 0.0258071
Time in this step: 0.0255789
Time in this step: 0.0259673
Time in this step: 0.0259067
Time in this step: 0.0257265
Time in this step: 0.0251835
Time in this step: 0.0250418
Time in this step: 0.0246754
Time in this step: 0.0230782
Time in this step: 0.0237369
